EcActivity,

ERR771019_MERGED_FASTQ_InterPro.txt.tsv,ERR771060_MERGED_FASTQ_InterPro.tsv,ERR771064_MERGED_FASTQ_InterPro.tsv,ERR771070_MERGED_FASTQ_InterPro.tsv,
3.5.2.6,0.0,39.0,0.0,1.0,
3.5.3.12 *,0.0,17.0,91.0,57.0,
3.5.3.23 *,1.0,40.0,10.0,36.0,
3.5.3.4 *,0.0,16.0,20.0,38.0,
3.5.3.6 *,128.0,15.0,37.0,53.0,
3.5.4.10 *,3.0,0.0,0.0,3.0,
3.5.4.13 *,8.0,4.0,37.0,45.0,
3.5.4.16 *,130.0,25.0,383.0,348.0,
3.5.4.19 *,0.0,3.0,62.0,69.0,
3.5.4.2 *,29.0,2.0,1.0,4.0,
3.5.4.25 *,0.0,30.0,117.0,150.0,
3.5.4.5,10.0,0.0,8.0,11.0,
3.5.4.9,388.0,158.0,1060.0,1186.0,
3.5.99.6 *,0.0,12.0,54.0,52.0,
3.6.1.1 *,39.0,59.0,557.0,621.0,
3.6.1.13 *,0.0,2.0,8.0,4.0,
3.6.1.15,8.0,0.0,0.0,3.0,
3.6.1.19,1.0,25.0,111.0,145.0,
3.6.1.22 *,23.0,3.0,11.0,11.0,
3.6.1.23 *,0.0,3.0,31.0,18.0,
3.6.1.27 *,247.0,23.0,133.0,131.0,
3.6.1.3 *,1.0,1.0,0.0,0.0,
3.6.1.31 *,0.0,17.0,128.0,140.0,
3.6.1.40 *,0.0,7.0,87.0,69.0,
3.6.1.7,22.0,8.0,11.0,35.0,
3.6.3.14,1504.0,130.0,1512.0,1761.0,
3.7.1.2,16.0,2.0,4.0,24.0,
3.8.1.2,0.0,0.0,1.0,0.0,
4.1.1.11,0.0,5.0,26.0,41.0,
4.1.1.19 *,1.0,0.0,4.0,34.0,
4.1.1.20 *,0.0,4.0,12.0,4.0,
4.1.1.23 *,152.0,16.0,109.0,162.0,
4.1.1.3,109.0,1.0,14.0,74.0,
4.1.1.31,0.0,25.0,150.0,213.0,
4.1.1.32,0.0,16.0,155.0,92.0,
4.1.1.37 *,0.0,29.0,229.0,239.0,
4.1.1.39,48.0,84.0,276.0,316.0,
4.1.1.4,10.0,11.0,5.0,21.0,
4.1.1.48 *,0.0,15.0,145.0,164.0,
4.1.1.49,0.0,23.0,56.0,154.0,
4.1.1.5,0.0,0.0,15.0,4.0,
4.1.1.50,15.0,3.0,173.0,280.0,
4.1.1.65 *,0.0,22.0,57.0,106.0,
4.1.1.9,0.0,5.0,32.0,35.0,
4.1.2.13,0.0,13.0,120.0,111.0,
4.1.2.14,137.0,39.0,57.0,60.0,
4.1.2.25 *,0.0,25.0,84.0,62.0,
4.1.2.4 *,0.0,0.0,2.0,0.0,
4.1.2.43,6.0,0.0,0.0,14.0,
4.1.3.1 *,0.0,24.0,155.0,136.0,
4.1.3.27 *,184.0,27.0,214.0,227.0,
4.1.3.39,0.0,3.0,13.0,9.0,
4.1.3.4,0.0,5.0,3.0,1.0,
4.1.3.40 *,0.0,6.0,1.0,10.0,
4.1.99.12 *,0.0,29.0,135.0,174.0,
4.2.1.1 *,43.0,35.0,187.0,136.0,
4.2.1.10 *,4.0,9.0,212.0,217.0,
4.2.1.104 *,3.0,23.0,0.0,11.0,
4.2.1.108 *,0.0,0.0,3.0,5.0,
4.2.1.11,140.0,40.0,447.0,565.0,
4.2.1.17,156.0,19.0,114.0,135.0,
4.2.1.19 *,0.0,11.0,173.0,209.0,
4.2.1.2,0.0,26.0,33.0,47.0,
4.2.1.20,193.0,8.0,205.0,177.0,
4.2.1.24 *,139.0,63.0,340.0,425.0,
4.2.1.3,29.0,3.0,35.0,68.0,
4.2.1.33 *,853.0,314.0,2178.0,2546.0,
4.2.1.49 *,100.0,29.0,107.0,85.0,
4.2.1.51 *,0.0,44.0,151.0,173.0,
4.2.1.70 *,57.0,5.0,89.0,32.0,
4.2.1.75 *,0.0,21.0,50.0,44.0,
4.2.1.8 *,0.0,0.0,13.0,11.0,
4.2.1.84,40.0,7.0,34.0,77.0,
4.2.1.9,0.0,85.0,711.0,824.0,
4.2.1.99 *,50.0,10.0,31.0,53.0,
4.2.2.2 *,1.0,0.0,0.0,0.0,
4.2.2.3 *,81.0,20.0,12.0,8.0,
4.2.3.3 *,0.0,0.0,8.0,2.0,
4.2.3.5 *,46.0,36.0,608.0,657.0,
4.3.1.17,25.0,4.0,10.0,23.0,
4.3.1.19,28.0,5.0,33.0,45.0,
4.3.1.24,0.0,0.0,0.0,2.0,
4.3.1.7 *,11.0,24.0,2.0,9.0,
4.3.2.1,0.0,12.0,36.0,45.0,
4.3.2.2,0.0,2.0,85.0,68.0,
4.3.2.3 *,35.0,2.0,24.0,43.0,
4.4.1.17 *,0.0,0.0,6.0,9.0,
4.4.1.19 *,0.0,1.0,5.0,9.0,
4.4.1.22 *,68.0,32.0,35.0,132.0,
4.4.1.5 *,0.0,0.0,22.0,28.0,
4.6.1.1 *,7.0,19.0,1.0,3.0,
4.6.1.12 *,24.0,49.0,190.0,187.0,
4.6.1.2 *,4.0,0.0,7.0,28.0,
4.99.1.1 *,69.0,32.0,186.0,205.0,
4.99.1.3 *,20.0,0.0,12.0,18.0,
5.1.1.1 *,342.0,73.0,515.0,466.0,
5.1.1.3 *,107.0,35.0,203.0,180.0,
5.1.1.7 *,0.0,25.0,132.0,155.0,
5.1.3.1,186.0,23.0,235.0,210.0,
5.1.3.2,52.0,0.0,30.0,34.0,
5.1.3.3 *,0.0,0.0,0.0,2.0,
5.1.3.9 *,0.0,0.0,1.0,1.0,
5.1.99.1,0.0,0.0,2.0,1.0,
5.3.1.1,0.0,11.0,170.0,196.0,
