!ENTRY_AC	AC
IPR010047	00720+1.2.99.2
IPR025192	00720+1.3.5.1
IPR014006	00720+1.3.5.1
IPR014608	00720+2.3.3.8
IPR021135	00720+4.1.1.31
IPR015934	00720+4.2.1.3
IPR005809	00720+6.2.1.5
IPR005930	00720+6.4.1.1
IPR011763	00720+6.4.1.2
IPR005477	00730+2.2.1.7
IPR019293	00730+2.5.1.3
IPR013676	00730+3.6.1.15
IPR000081	00730+3.6.1.15
IPR024350	00730+3.6.1.15
IPR003138	00730+3.6.1.15
IPR000752	00730+3.6.1.15
IPR001011	00740+3.1.3.2
IPR010025	00740+3.1.3.2
IPR029630	00740+3.1.3.2
IPR004788	00030+5.3.1.6
IPR016758	00030+5.3.1.9
IPR010045	00030+5.4.2.7
IPR000070	00040+3.1.1.11
IPR023177	00040+5.3.1.12
IPR028358	00051+1.1.1.132
IPR019807	00051+2.7.1.1
IPR022673	00051+2.7.1.1
IPR012734	00051+2.7.1.28
IPR003501	00051+2.7.1.69
IPR010973	00051+2.7.1.69
IPR005677	00720+4.2.1.2
IPR016102	00720+6.2.1.5
IPR000559	00720+6.3.4.3
IPR014093	00730+2.7.1.89
IPR007371	00730+2.7.6.2
IPR016454	00730+2.8.1.7
IPR000280	00730+3.6.1.15
IPR013193	00730+3.6.1.15
IPR001122	00730+3.6.1.15
IPR008738	00730+3.6.1.15
IPR000199	00730+3.6.1.15
IPR000487	00730+3.6.1.15
IPR002527	00730+3.6.1.15
IPR030399	00730+3.6.1.15
IPR004948	00730+3.6.1.15
IPR016216	00740+1.14.18.1
IPR015864	00740+2.7.1.26+2.7.7.2
IPR012183	00740+2.7.7.2
IPR018296	00740+3.1.3.2
IPR000056	00030+5.1.3.1
IPR013449	00040+2.7.1.5
IPR006501	00040+3.1.1.11
IPR013447	00040+4.1.2.19
IPR004628	00040+4.2.1.8
IPR013452	00040+5.3.1.5
IPR012812	00051+2.4.1.217
IPR015912	00051+2.7.1.11
IPR012004	00051+2.7.1.11
IPR001996	00051+2.7.1.69
IPR013011	00051+2.7.1.69
IPR011296	00051+2.7.1.69
IPR029503	00051+2.7.1.69
IPR028343	00051+3.1.3.11
IPR006381	00051+3.1.3.70
IPR023444	00051+4.2.1.90
IPR022859	00051+4.2.2.3
IPR022891	00051+5.3.1.1
IPR019490	00051+5.3.1.8
