! Conversion taken from: http://www.geneontology.org/
PF00722;3.2.1
PF00723;3.2.1.3
PF00724;1
PF00725;1
PF00728;3.2.1
PF00731;R04209
PF00731;4.1.1.21
PF00732;1.1
PF00733;6.3.5.4
PF00734;3.2.1
PF00743;1.14.13.8
PF00745;R04109
PF00745;1.2.1.70
PF00749;6.1.1
PF00750;6.1.1.19
PF00753;3
PF00757;2.7.10.1
PF00759;3.2.1
PF00762;R00310
PF00762;4.99.1.1
PF00764;6.3.4.5
PF00768;3.4.16.4
PF00770;3.4.22
PF00781;2.7.1.107
PF00792;R03362
PF00792;2.7.1.137
PF00794;R03362
PF00794;2.7.1.137
PF00795;3.5
PF00800;4.2.1.51
PF00814;3.4.24
PF00815;1.1.1.23
PF00817;2.7.7.7
PF00825;3.1.26.5
PF00834;R01529
PF00834;5.1.3.1
PF00837;1.97.1.10
PF00840;3.2.1
PF00842;R00401
PF00842;5.1.1.1
PF00848;1.14.12
PF00849;5.4.99.12
PF00851;3.4.22
PF00871;2.7.2
PF00881;1
PF00883;3.4.11
PF00884;3.1.6
PF00890;1
PF00908;R06514
PF00908;5.1.3.13
PF00922;2.7.7.48
PF00925;R00425
PF00925;3.5.4.25
PF00926;R07281
PF00926;4.1.99.12
PF00927;2.3.2.13
PF00933;3.2.1
PF00940;2.7.7.6
PF00941;1
PF00944;3.4.21
PF00946;2.7.7.48
PF00947;3.4
PF00953;2.7.8.13
PF00958;6.3.5.2
PF00959;3.2.1.17
PF00970;1
PF00972;2.7.7.48
PF00975;3.1
PF00978;2.7.7.48
PF00984;1.1.1
PF00986;5.99.1.3
PF00998;2.7.7.48
PF01000;2.7.7.6
PF01001;2.7.7.48
PF01001;3.4.22
PF01001;3.4.21
PF01001;3.6.1.15
PF01002;3.4.21
PF01010;1.6.5.3
PF01014;1
PF01019;2.3.2.2
PF01026;3.1.21
PF01028;5.99.1.3
PF01039;6
PF01050;2.7.7
PF01051;2.7.7.7
PF01055;3.2.1
PF01058;1.6.5.3
PF01059;1.6.5.3
PF01066;2.7.8
PF01068;6.5.1.1
PF01070;1
PF01073;1.1.1.145
PF01074;3.2.1.24
PF01075;2.4
PF01077;1
PF01078;R03877
PF01078;6.6.1.1
PF01079;3.4
PF01080;3.4.23
PF01083;3
PF01087;R00955
PF01087;2.7.7.12
PF01088;3.1.2.15
PF01095;3.1.1.11
PF01112;3
PF01113;1.3.1.26
PF01116;4.1.2
PF01118;1.2.1
PF01120;3.2.1.51
PF01121;R00130
PF01121;2.7.1.24
PF01126;1.14.99.3
PF01127;1.3
PF01129;2.4.2.31
PF01135;2.1.1.77
PF01136;3.4
PF01142;5.4.99.12
PF01148;2.7
PF01149;4.2.99.18
PF01149;3.2.2
PF01150;3
PF01154;R01978
PF01154;2.3.3.10
PF01179;R01853
PF01179;1.4.3.21
PF01180;R01868
PF01180;1.3.5.2
PF01183;3.2.1.17
PF01186;1.4.3
PF01191;2.7.7.6
PF01192;2.7.7.6
PF01193;2.7.7.6
PF01194;2.7.7.6
PF01195;3.1.1.29
PF01202;R02412
PF01202;2.7.1.71
PF01204;3.2.1.28
PF01206;2.8.1
PF01208;4.1.1.37
PF01209;2.1.1
