R01967	00230 01100
R01968	00230 01100
R01969	00230 01100
R01971	00380
R01973	00380
R01974	00380 01100
R01975	00071 00310 00380 00650 00720 01100 01120
R01976	00362 00650 01100 01120
R01977	00630 00650 01120
R01978	00072 00280 00650 00900 01100 01110
R01980	00520
R01982	00040 00500 01100
R01983	00040 01100
R01986	00330
R01987	00330 01100
R01989	00330 01100
R01990	00330 01100
R01991	00330
R01992	00330
R01993	00240 01100
R01994	00540
R01996	00540
R01997	00540
R02000	00071
R02002	00071
R02003	00900 01100 01110
R02004	00902 01110
R02006	00902 01100 01110
R02007	00902 01100 01110
R02008	00902 01100 01110
R02009	00902 01110
R02011	00902 01100 01110
R02013	00902 01100 01110
R02014	00230 01100
R02016	00240
R02017	00230 01100
R02018	00240
R02019	00230 01100
R02020	00230 01100
R02021	00920 01100 01120
R02022	00240 01100
R02023	00240
R02024	00240 01100
R02025	00270
R02026	00270 01100
R02027	00564
R02029	00564 01100
R02030	00564 01100
R02032	00030 01100 01120
R02034	00030 00480 01100 01120
R02035	00030 01100 01110 01120
R02036	00030 01100 01120
R02037	00564
R02038	00564 01100
R02051	00564 01100
R02052	00564
R02053	00564
R02054	00564
R02055	00564 01100
R02056	00564 01100
R02057	00564 01100
R02058	00520
R02059	00520
R02060	00520 01100
R02061	00900 01100 01110
R02063	00900 01100 01110
R02064	00904 01100 01110
R02068	00904 01100 01110
R02071	00051
R02073	00051
R02075	00350
R02076	00350
R02077	00350
R02078	00350 00965 01100
R02080	00350 00950 00965 01100 01110
R02081	00900 01110
R02082	00900 01100 01110
R02085	00280 01100
R02087	00520
R02088	00230 01100
R02089	00230 01100
R02090	00230 01100
R02091	00240 01100
R02092	00240
R02093	00240 01100
R02094	00240 01100
R02095	00240
R02096	00240 01100
R02097	00240 01100
R02098	00240 01100
R02099	00240
R02100	00240 01100
R02101	00240 00670 01100
R02102	00240
R02103	00230 01100 01120
R02106	00230 01100 01120
R02107	00230 01100
R02108	00500 01100
R02109	00500
R02110	00500 01100
R02111	00500
R02112	00500 01100
R02114	00564
R02118	00908
R02119	00908
R02120	00500
R02123	00830 01100
R02124	00830 01100
R02125	00830 01100
R02126	00830 01100
R02127	00830
R02128	00830
R02133	00730
R02134	00730 01100
R02135	00730 01100
R02137	00240 01100
R02139	00240
R02141	00230
R02142	00230 01100 01110
R02143	00230
R02144	00340
R02147	00230 01100
R02148	00230
R02150	00340
R02152	00340
R02155	00340
R02157	00944
R02158	00944 01100 01110
R02159	00944
R02160	00941 01100 01110
R02164	00020 01100 01110
R02167	00051
R02170	00311 01110
R02173	00380
R02174	00380
R02175	00130 01110
R02177	00902 01110
R02180	00920
R02187	00010 01110 01120
R02189	00010 00520 01100 01110 01120
R02193	00940 01100 01110
R02194	00940 01100 01110
R02196	00290 01110
R02197	00280 01100
